Date,nvda,msft,googl,amzn,aapl,meta
2023-01-03,100.0,100.0,100.0,100.0,100.0,100.0
2023-01-04,103.03178241207623,95.6256698907911,98.83304496000406,99.207643547432,101.03142520698545,102.10838970148819
2023-01-05,99.65073517768114,92.79154049390102,96.72351986636338,96.85388375921303,99.96002409662049,101.76367007768896
2023-01-06,103.80021436084297,93.88512139958429,98.00268460301466,100.30296217333377,103.63796765419944,104.23282416361846
2023-01-09,109.17221043367232,94.79921503264124,98.76571054027097,101.79445458052155,104.06173197730395,103.7918912815376
2023-01-10,111.13518901592371,95.52132195415203,99.21454932689235,104.71918325117645,104.52547220378801,106.61375357373845
2023-01-11,111.77785815846366,98.40970423486439,102.69299831276872,110.80167405736483,106.73224327515578,106.53358507609893
2023-01-12,115.34054870375033,99.55337370688862,102.25539339842268,111.01141573275038,106.66827442451793,109.59597744147212
2023-01-13,118.05100321207888,99.85390510493431,103.36624789096089,114.33232707468726,107.74766084191796,109.81240657583238
2023-01-17,123.66050976541989,100.32138541783154,102.43492031133137,111.92030225275164,108.69114893510931,108.51370886840192
2023-01-18,121.39017840622881,98.42640042364471,102.24417672962711,111.23281219287841,108.10745631438463,106.63781764216989
2023-01-19,117.11489641170616,96.80689605785729,104.40979376898565,109.15870500850818,108.15544220890132,109.1470191065385
2023-01-20,124.61753925087054,100.26711956105758,109.98653397622738,113.31857416199121,110.23426323694233,111.72837590582077
2023-01-23,134.07613977127065,101.25217523966879,111.97262410267726,113.63318223007151,112.82483507008618,114.85492273350857
2023-01-24,134.57911098590986,101.02678317761034,109.62747154867014,112.23491032083194,113.96016800493582,114.75069016743763
2023-01-25,134.98428298298282,100.42991064490359,106.84471408031702,113.23700844878547,113.42448596282995,113.43595384442851
2023-01-26,138.33043240549202,103.51447638702258,109.42549409469054,115.61407780648952,115.10354795707582,118.08562838650604
2023-01-27,142.26335046330948,103.58125465566803,111.50136058020456,119.13306714907341,116.67865285525329,121.64502119278752
2023-01-30,133.85960531601555,101.30644109644274,108.77469505756929,117.1638352473939,114.33598345967685,117.89321416006968
