Date,nvda,msft,googl,amzn,aapl,meta
2023-01-03,14.303277969360352,235.24000549316406,88.69595336914062,85.81999969482422,123.63251495361328,124.15485382080078
2023-01-04,14.736924171447754,224.94985961914062,87.66089630126953,85.13999938964844,124.90770721435547,126.77251434326172
2023-01-05,14.253321647644043,218.28286743164062,85.78984069824219,83.12000274658203,123.58309936523438,126.34453582763672
2023-01-06,14.846834182739258,220.8553924560547,86.92440795898438,86.08000183105469,128.1302032470703,129.4100799560547
2023-01-09,15.615204811096191,223.00572204589844,87.6011734008789,87.36000061035156,128.65415954589844,128.86265563964844
2023-01-10,15.895975112915039,224.7043914794922,87.99927520751953,89.87000274658203,129.22747802734375,132.3661651611328
2023-01-11,15.987899780273438,231.49903869628906,91.08451843261719,95.08999633789062,131.95574951171875,132.26663208007812
2023-01-12,16.497480392456055,234.1894073486328,90.69638061523438,95.2699966430664,131.87667846679688,136.06871032714844
2023-01-13,16.885164260864258,234.89637756347656,91.68167114257812,98.12000274658203,133.21115112304688,136.33741760253906
2023-01-17,17.68750762939453,235.99607849121094,90.85562133789062,96.05000305175781,134.3776092529297,134.7250518798828
2023-01-18,17.362775802612305,231.53831481933594,90.68643188476562,95.45999908447266,133.65599060058594,132.39602661132812
2023-01-19,16.75127410888672,227.7285919189453,92.60725402832031,93.68000030517578,133.71530151367188,135.51133728027344
2023-01-20,17.82439422607422,235.86843872070312,97.55359649658203,97.25,136.28543090820312,138.71621704101562
2023-01-23,19.177288055419922,238.1856689453125,99.315185546875,97.5199966430664,139.48817443847656,142.5979461669922
2023-01-24,19.24922752380371,237.6554412841797,97.23512268066406,96.31999969482422,140.89186096191406,142.4685516357422
2023-01-25,19.307180404663086,236.25135803222656,94.76692199707031,97.18000030517578,140.2295684814453,140.83624267578125
2023-01-26,19.785785675048828,243.5074920654297,97.05597686767578,99.22000122070312,142.30543518066406,146.60902404785156
2023-01-27,20.34832763671875,243.6645965576172,98.89718627929688,102.23999786376953,144.25277709960938,151.02821350097656
2023-01-30,19.146312713623047,238.31333923339844,96.47874450683594,100.55000305175781,141.3564453125,146.37014770507812
2023-01-31,19.521007537841797,243.32093811035156,98.36969757080078,103.12999725341797,142.631591796875,148.2711944580078
2023-02-01,20.925851821899414,248.1714630126953,99.95214080810547,105.1500015258789,143.7584991455078,152.40171813964844
2023-02-02,21.691226959228516,259.8067932128906,107.22734832763672,112.91000366210938,149.08656311035156,187.88449096679688
2023-02-03,21.08272361755371,253.67001342773438,104.28143310546875,103.38999938964844,152.7242889404297,185.65499877929688
2023-02-06,21.071735382080078,252.11862182617188,102.41039276123047,102.18000030517578,149.98611450195312,185.1872100830078
2023-02-07,22.154842376708984,262.713134765625,107.12782287597656,102.11000061035156,152.87252807617188,190.7211151123047
2023-02-08,22.18682098388672,261.8982238769531,98.89718627929688,100.05000305175781,150.1739044189453,182.5695343017578
2023-02-09,22.318714141845703,258.8445129394531,94.55792236328125,98.23999786376953,149.13600158691406,177.08538818359375
2023-02-10,21.247587203979492,258.333984375,94.1200180053711,97.61000061035156,149.5023193359375,173.3330841064453
2023-02-13,21.770160675048828,266.4050598144531,94.15982818603516,99.54000091552734,152.31394958496094,178.58831787109375
2023-02-14,22.952194213867188,267.23968505859375,94.22949981689453,99.69999694824219,151.67042541503906,178.6380615234375
2023-02-15,22.745363235473633,265.1036376953125,96.47874450683594,101.16000366210938,153.7791748046875,176.3289794921875
2023-02-16,21.98398780822754,258.0458679199219,95.0555419921875,98.1500015258789,152.1753692626953,171.63111877441406
2023-02-17,21.370487213134766,254.0198974609375,93.90106201171875,97.19999694824219,151.02691650390625,172.0690460205078
2023-02-21,20.638090133666992,248.71429443359375,91.3532485961914,94.58000183105469,146.99755859375,171.27279663085938
2023-02-22,20.73700714111328,247.5724639892578,91.21391296386719,95.79000091552734,147.4232940673828,170.31729125976562
2023-02-23,23.64462661743164,250.78143310546875,90.45752716064453,95.81999969482422,147.9083709716797,171.23297119140625
2023-02-24,23.26693344116211,245.3183135986328,88.70590209960938,93.5,145.24525451660156,169.59071350097656
2023-02-27,23.48175621032715,246.24362182617188,89.4423828125,93.76000213623047,146.44314575195312,168.74472045898438
2023-02-28,23.196989059448242,245.51519775390625,89.63147735595703,94.2300033569336,145.93826293945312,174.119384765625
2023-03-01,22.679414749145508,242.41448974609375,89.9300537109375,92.16999816894531,143.85922241210938,172.60650634765625
2023-03-02,23.294910430908203,247.17874145507812,91.56224060058594,92.12999725341797,144.4532470703125,173.71128845214844
2023-03-03,23.870437622070312,251.29327392578125,93.20439147949219,94.9000015258789,149.52210998535156,184.38099670410156
2023-03-06,23.534717559814453,252.84852600097656,94.6773452758789,93.75,152.29417419433594,184.0326385498047
2023-03-07,23.27288818359375,250.17112731933594,93.41339874267578,93.55000305175781,150.08641052246094,183.64447021484375
2023-03-08,24.165307998657227,249.72816467285156,93.8015365600586,93.91999816894531,151.34371948242188,184.1023406982422
2023-03-09,23.42078971862793,248.36976623535156,91.8807144165039,92.25,149.0865020751953,180.8377227783203
2023-03-10,22.950096130371094,244.6981658935547,90.19876098632812,90.7300033569336,147.01736450195312,178.66793823242188
2023-03-13,22.951095581054688,249.94473266601562,90.67648315429688,92.43000030517578,148.96768188476562,180.05140686035156
2023-03-14,24.047382354736328,256.7071838378906,93.52287292480469,94.87999725341797,151.0665283203125,193.10989379882812
2023-03-15,24.212276458740234,261.2843322753906,95.6526870727539,96.19999694824219,151.46255493164062,196.82237243652344
