Date,nvda,msft,googl,amzn,aapl,meta
2023-12-08,332.0089544824919,157.58756257017558,151.46992982270524,171.77813877088158,157.35502671097709,266.7548606225785
2023-12-11,325.865819446829,156.35373092408292,149.56239078478404,169.99533897510258,155.32085909813787,260.7664221914477
2023-12-12,333.0642365770274,157.6507149070261,148.69838042140785,171.84804969934478,156.55102842923756,267.93331180102973
2023-12-13,336.0764631461037,157.6465116701445,148.7544981723453,173.43276260448079,159.16407529861132,268.35016835016836
2023-12-14,337.9074714588372,154.0924284006489,148.04758998602648,171.77813877088158,159.28469417105256,267.09158553953415
2023-12-15,341.68144911930364,156.11371831437228,148.78814817873211,174.74947769051062,158.8505254721128,268.4944790288636
2023-12-18,349.97710039455063,156.92223168527096,152.37882406474355,179.52692597540369,157.4997496106237,276.2706640060999
2023-12-19,346.6713961625075,157.179096161368,153.3325849819643,179.20064534258887,158.3439829812979,280.87223527433775
2023-12-20,336.2371237642164,156.06739189800146,155.22889014761017,177.25471412039846,156.647506248318,280.00644494293203
2023-12-21,342.380312140058,157.29699436130585,157.5628518380413,179.25891037630552,156.52687503382495,283.86247248854926
2023-12-22,341.2621153047974,157.73492234714453,158.76346548616388,178.7695160970713,155.65856232004901,283.30128068046014
2023-12-26,344.4000380048773,157.76862607991728,158.79714989951017,178.75787020232474,155.21634660332234,284.4556677890011
2023-12-27,345.36450844525046,157.5201810505368,157.50671688362405,178.67629559912305,155.29674272888073,286.86067370546857
2023-12-28,346.098335953114,158.02971973880256,157.3496491135262,178.72291473809315,155.64246828447517,287.2535153452076
2023-12-29,346.098335953114,158.3497495247034,156.74372535332722,177.0449813350089,154.79824725585277,283.75825220620084
2024-01-02,336.63552155860003,156.17266741434122,155.03815516764575,174.70285855154052,149.25854198034762,277.60947676993817
2024-01-03,332.4492243171207,156.0589594783316,155.87973219343075,173.0016333589632,148.14096918800593,276.15044197757004
2024-01-04,335.4474490892998,154.9388487412019,153.04083116892053,168.45724520893668,146.2595468084966,278.27483969986525
2024-01-05,343.1280881046401,154.85884453796504,152.3002729762149,169.23794687676218,145.67259585007147,282.1468935719191
2024-01-08,365.1846520303439,157.7812617364687,155.7899644361065,173.73573366781054,149.19421520625943,287.52608579590617
2024-01-09,371.3837409134172,158.24446103541032,158.15755892944466,176.38079195462475,148.85652432640012,286.53999969520487
2024-01-10,379.8401328170449,161.18373010030038,159.6499091871313,179.1307344141257,149.70074535502252,296.9937856198624
2024-01-11,383.13887615577335,161.96697215809618,159.4254897938206,180.8203137119565,149.2183315755166,296.35243759933496
2024-01-12,382.35608236390334,163.58399889989357,160.06509796736586,180.16778800631084,149.48364866350082,300.2164783081705
2024-01-16,394.04136864230907,164.3419696445865,159.8855624527173,178.46656281373353,147.6424490308743,294.5807419599214
2024-01-17,391.74206023106296,164.00508799229925,158.74103214857269,176.77698351590274,146.87863646986216,295.31028393636075
2024-01-18,399.1082322231353,165.857937079879,160.99640834351564,178.86273659501953,151.66256386009024,301.5312024218434
2024-01-19,415.769490417937,167.87920104769572,164.2504465378212,181.00675470785293,154.01834065926673,307.3994188244444
2024-01-22,416.9086499434094,166.96961539733886,163.81285882695494,180.3542290022073,155.89171602098915,306.06060606060606
2024-01-23,418.43921969986144,167.97603117141227,164.9910219340066,181.79912005041695,156.92889268777245,308.8023368940291
2024-01-24,428.84548850435806,169.5172699198077,166.85367709326567,182.78955450363196,156.38216447623017,313.21151850426196
2024-01-25,430.62761054335306,170.4900208799684,170.41066856593085,183.81496220107053,156.11683504619413,315.1996432913355
2024-01-26,426.532204966304,170.09416418180555,170.76973959522792,185.4113210009531,154.70980411250744,315.9692265036111
2024-01-29,436.5540777733142,172.53232697809972,172.25090759107843,187.9049115360944,154.15502888317823,321.4847162430751
2024-01-30,438.71360824639163,172.05649202260668,169.95063031399363,185.27149914402673,151.1881970983713,320.715083870289
2024-01-31,429.9986231566384,167.4202049856357,157.20378080874417,180.84362328144155,148.2615510342917,312.76258472199487
2024-02-01,440.4818084987573,170.03101184495503,158.39319499155093,185.59776199684956,150.2394512328815,316.48231475213515
2024-02-02,462.3776851362591,173.16398007613827,159.7621274855265,200.198086890643,149.4273935913032,380.7840658986812
2024-02-05,484.54607674651584,170.81847011258577,161.22082773682632,198.45024255909559,150.89872661497446,368.2940762076402
2024-02-06,476.7955354270465,170.75107561999366,161.69211706451864,197.09857200883417,152.20125739589741,364.53423120089786
2024-02-07,489.90644466039805,174.355662596835,163.30790228939605,198.70659448345523,152.28970053924274,376.45501592063135
2024-02-08,486.7055538794145,174.3809468828912,163.72309106963064,197.9025832461447,151.4133284656281,376.7837276743686
2024-02-09,504.1217089526489,177.09281304871539,167.1902975814918,203.2742922029668,152.03320801831018,375.2685761592171
2024-02-12,504.92533208428415,174.8652142580541,165.54086235022757,200.81565713205705,150.66461023399233,375.9018618560157
2024-02-13,504.0867177954504,171.10059292883233,162.85908070625445,196.50431133690515,148.96596129989206,368.86323201843715
2024-02-14,516.4708670946105,172.75435907448355,163.75674107601745,199.23094422692108,148.24946816555948,379.4131759017144
2024-02-15,507.7906598013412,171.51825716155673,160.19973239987252,197.85598188716656,148.01601825537568,388.0311363009567
2024-02-16,507.4762727883412,170.46356902811175,157.67505293295673,197.51805535960523,146.76818744812095,379.4452777150981
2024-02-20,485.3847443755282,169.92778605524273,158.34829390940905,194.68655607689456,146.16438958896092,378.18667032420865
2024-02-21,471.5469685276277,169.67042860691885,159.95287966897064,196.44604630318852,146.77625915001153,375.60254808758236
2024-02-22,548.8847868809831,173.66561823582106,161.6808831922433,203.42577773463168,148.42658895123478,390.12815161888017
2024-02-23,550.834583771584,173.112957450659,161.53503209094106,203.90352611911936,146.93724887395746,388.44285557674374
2024-02-26,552.7565904291051,171.93169221149287,154.3649313946732,203.6005550557896,145.84239779901722,386.6050636309068
2024-02-27,550.0238663961875,171.9063949524833,155.83484831476864,202.21392904129664,147.0258030957692,390.86641958594066
2024-02-28,542.769602098936,172.00763588033487,153.02963170360468,201.77115390103245,146.0517066558402,388.4347932530149
2024-02-29,552.8963950373632,174.50516291110478,155.36355898707632,205.9659696287511,145.51232196513112,393.33821005597906
2024-03-01,575.0297421502427,175.2898319937678,153.88240819470553,207.66721260132041,144.63481442274897,403.1048549445396
2024-03-04,595.702581831335,175.04514912085537,149.62972520451711,206.92146639772653,140.96379452927445,399.80647965025247
2024-03-05,600.811610823389,169.86872019869375,148.8666992672608,202.88976431642732,136.9546517841269,393.4104268459649
2024-03-06,619.9337981707653,169.63245677249785,147.44164902234775,202.17897357706502,136.1496044279826,398.12120818837127
2024-03-07,647.6735714416684,172.6067009195878,150.78547217745734,206.03589833720628,136.05301553043577,411.0417456307367
2024-03-08,611.7426136354165,171.3748152164959,151.94121915039756,204.32300946989042,137.4457420260626,406.0340593849135
2024-03-11,599.4836537355627,170.65763143709836,154.47709808262917,200.37288199179292,139.07194311597684,388.0897110492672
2024-03-12,642.3898533645151,175.19701051263274,155.4084256622587,204.3696108288686,139.4583480743715,401.05845037221883
